order_id,customer_name,region,product,quantity,unit_price,total_price,timestamp
7bc5f9da-88ca-48d7-b386-ed7ae4165592,Felicia Huber,San Antonio,Falafel,5,11.29,56.45,2025-04-04 21:36:33
de20e9dd-7f42-4e38-9d01-261a71b4fc4f,Kelli Duncan,Austin,Baklava,3,7.62,22.86,2025-01-30 21:38:01
9c4b3d62-0b2a-45c8-a361-584e668a27b9,Kenneth Miller,San Antonio,Shawarma,2,8.84,17.68,2025-01-04 20:17:25
10d63393-ba12-4d74-aec4-9b40b1b7e4ae,Kelsey Williams,Houston,Falafel,5,5.7,28.5,2025-01-31 03:59:21
96114a4e-d9e2-4310-8ca3-546359d62646,Mark Hooper,Austin,Falafel,5,12.38,61.9,2025-03-20 22:15:42
0579e729-6d00-40e9-b776-b0f81f8ade4a,Mark Lindsey,San Antonio,Shawarma,1,9.74,9.74,2025-03-07 15:37:25
cd77c53b-3ba2-4ae8-9cdf-df1efe3462ce,Linda Smith,Austin,Salad,1,14.86,14.86,2025-02-26 21:42:54
f69ac4e4-077d-4738-8844-892cc8d14c66,Becky Murray,Houston,Salad,5,5.32,26.6,2025-03-10 02:44:44
1d0b9446-8acd-4ace-9b5f-4bdb6db17365,Robert Morgan,Austin,Baklava,2,5.13,10.26,2025-03-13 16:31:06
89a5965a-01e2-4e93-b61e-d17a665d9370,Douglas Roman,Houston,Falafel,4,12.69,50.76,2025-01-28 13:56:26
f6c2452e-9fe8-4b5a-a905-404d8ddf9fcb,Michael Nguyen,Austin,Falafel,1,8.75,8.75,2025-01-20 09:27:12
68ae33e3-ea00-42fe-a8bc-2c734273023a,Elizabeth Jefferson,Dallas,Salad,3,8.91,26.73,2025-02-28 12:36:53
7d1e26ae-2723-4d87-b8bf-c52ab8805b28,Toni Ortiz,Dallas,Shawarma,1,9.42,9.42,2025-02-07 05:09:00
9c6e80f0-b300-4005-b355-cd9b1cd5c481,Kenneth Campbell,Austin,Shawarma,3,5.13,15.39,2025-02-21 14:42:42
625fcbde-ce0d-4c91-ac62-be8d99913382,Casey Chung,Houston,Salad,2,10.17,20.34,2025-02-10 07:09:48
835bd346-fea9-4aa1-8a6b-16c1d584fe9b,William Carson,Austin,Baklava,2,11.4,22.8,2025-03-22 08:13:50
6409b1a6-9949-4d8d-a179-2f8d40dd6a6e,Julie Moss,Houston,Salad,1,13.85,13.85,2025-02-08 20:33:45
ffb27866-554b-48f8-95fe-9c0f9c528f7d,Cindy Ward,Dallas,Shawarma,1,6.21,6.21,2025-03-06 07:30:28
898d63c1-82fc-4982-b30e-1793c24a395c,Robert Martin,Houston,Baklava,2,13.36,26.72,2025-01-09 06:57:09
